VideoName,EggID,TrialID,RepeatCount,FrameCount,StartTime_sec,EndTime_sec,Duration_sec,Detected_Ratio,StartY,EndY,Delta_Y_total,Orientation_Var,Orientation_STD,Speed_CV,Static_FileName,Static_Area_像素面积,Static_Perimeter_轮廓周长,Static_MajorAxisLength_长轴像素长度,Static_MinorAxisLength_短轴像素长度,Static_EquivalentDiameter_等效圆直径,Static_Eccentricity_离心率,Static_ShapeIndex_机器视觉ESI,Static_ShapeIndex_100_0_1,Static_ShapeIndex_人工ESI,Static_e_Abs_绝对误差,Static_e_rel_相对误差,Static_Circularity_圆形度,Static_Solidity_坚实度,Static_Extent_延展度,Static_CentroidX_质心坐标,Static_CentroidY,Static_AsymmetryIndex_不对称指数,Static_MajorAxisOffsetRatio_长轴偏移率,Static_Hu1,Static_Hu2,Static_Hu3,Static_Hu4,Static_Hu5,Static_Hu6,Static_Hu7,RSI_GroupNum
鸡蛋滚落1_1.mp4,1,1,3,59,0,1.93333333333333,1.93333333333333,1.0,735.783563143504,1710.86405367701,975.080490533506,1389.57540734742,37.2770090987383,0.497532042364334,1号鸡蛋轮廓.jpg,5644291,10069.132,3043.57965727947,2362.35898711819,2680.77125156041,0.630514084090843,77.6177808084646,0.776177808084646,0.768323122305424,0.00785468577922221,0.0102231542318465,0.699576467155101,0.995716557891476,0.780912056596879,1546.71041836787,1544.8464207462,0.00594440830176164,0.00648546160700169,0.164370893168389,0.00166287307355075,6.32947764045822e-06,1.02853354608073e-07,5.69616584799622e-14,2.47186385768218e-09,-6.03511487347271e-14,3
鸡蛋滚落1_2.mp4,1,2,3,44,0,1.43333333333333,1.43333333333333,1.0,805.555572371184,1706.19948729779,900.643914926603,1037.13673945267,32.2046074258431,0.275423072895189,1号鸡蛋轮廓.jpg,5644291,10069.132,3043.57965727947,2362.35898711819,2680.77125156041,0.630514084090843,77.6177808084646,0.776177808084646,0.768323122305424,0.00785468577922221,0.0102231542318465,0.699576467155101,0.995716557891476,0.780912056596879,1546.71041836787,1544.8464207462,0.00594440830176164,0.00648546160700169,0.164370893168389,0.00166287307355075,6.32947764045822e-06,1.02853354608073e-07,5.69616584799622e-14,2.47186385768218e-09,-6.03511487347271e-14,3
鸡蛋滚落1_3.mp4,1,3,3,55,0,1.8,1.8,1.0,769.596843207599,1740.63726640018,971.040423192581,1839.51217616636,42.8895345762385,0.392045429102509,1号鸡蛋轮廓.jpg,5644291,10069.132,3043.57965727947,2362.35898711819,2680.77125156041,0.630514084090843,77.6177808084646,0.776177808084646,0.768323122305424,0.00785468577922221,0.0102231542318465,0.699576467155101,0.995716557891476,0.780912056596879,1546.71041836787,1544.8464207462,0.00594440830176164,0.00648546160700169,0.164370893168389,0.00166287307355075,6.32947764045822e-06,1.02853354608073e-07,5.69616584799622e-14,2.47186385768218e-09,-6.03511487347271e-14,3
鸡蛋滚落2_1.mp4,2,1,3,42,0,1.36666666666667,1.36666666666667,1.0,829.605610688655,1802.27897314746,972.673362458809,694.085424162961,26.3455010231911,0.310094220861833,2号鸡蛋轮廓.jpg,5304081,9139.095,3020.80083366891,2237.4264481301,2598.72385560267,0.671865387520908,74.067327550775,0.74067327550775,0.734147168531706,0.00652610697604428,0.00888937158076423,0.798019728614466,0.996442618913297,0.766783764208919,1534.51958878456,1562.01063992047,0.00706343174752865,0.012072568463272,0.166514615359619,0.00235590178775173,8.8541824941954e-06,2.86826820953237e-07,4.56512423070861e-13,1.38703387383774e-08,-2.30162499997106e-14,3
鸡蛋滚落2_2.mp4,2,2,3,41,0,1.33333333333333,1.33333333333333,1.0,798.816965824361,1800.38977471946,1001.5728088951,725.649685691113,26.9378856945216,0.216646105977367,2号鸡蛋轮廓.jpg,5304081,9139.095,3020.80083366891,2237.4264481301,2598.72385560267,0.671865387520908,74.067327550775,0.74067327550775,0.734147168531706,0.00652610697604428,0.00888937158076423,0.798019728614466,0.996442618913297,0.766783764208919,1534.51958878456,1562.01063992047,0.00706343174752865,0.012072568463272,0.166514615359619,0.00235590178775173,8.8541824941954e-06,2.86826820953237e-07,4.56512423070861e-13,1.38703387383774e-08,-2.30162499997106e-14,3
鸡蛋滚落2_3.mp4,2,3,3,39,0,1.26666666666667,1.26666666666667,1.0,774.522835486609,1784.82038440099,1010.29754891438,690.746400905464,26.282054731422,0.190974660384206,2号鸡蛋轮廓.jpg,5304081,9139.095,3020.80083366891,2237.4264481301,2598.72385560267,0.671865387520908,74.067327550775,0.74067327550775,0.734147168531706,0.00652610697604428,0.00888937158076423,0.798019728614466,0.996442618913297,0.766783764208919,1534.51958878456,1562.01063992047,0.00706343174752865,0.012072568463272,0.166514615359619,0.00235590178775173,8.8541824941954e-06,2.86826820953237e-07,4.56512423070861e-13,1.38703387383774e-08,-2.30162499997106e-14,3
鸡蛋滚落3_1.mp4,3,1,3,46,0,1.5,1.5,1.0,769.878750973032,1791.12118770371,1021.24243673068,1041.27929084159,32.2688594598816,0.35978448231425,3号鸡蛋轮廓.jpg,5864284,9984.043,3046.04467662069,2453.50539363359,2732.51501191809,0.592633073944211,80.5472556743826,0.805472556743826,0.803701418877237,0.00177113786658878,0.00220372619108106,0.739285133482515,0.995729133361984,0.773930776142126,1546.59348097739,1565.40332221291,0.00910922181881927,0.0174075818540517,0.163042860623433,0.00120619816037917,1.22170679328656e-05,1.8028554006459e-07,2.61353854269947e-13,5.95378291716349e-09,-5.73037499723595e-14,3
鸡蛋滚落3_2.mp4,3,2,3,42,0,1.36666666666667,1.36666666666667,1.0,777.17699568153,1812.29385729792,1035.11686161639,730.646334935855,27.0304704904642,0.302003855963275,3号鸡蛋轮廓.jpg,5864284,9984.043,3046.04467662069,2453.50539363359,2732.51501191809,0.592633073944211,80.5472556743826,0.805472556743826,0.803701418877237,0.00177113786658878,0.00220372619108106,0.739285133482515,0.995729133361984,0.773930776142126,1546.59348097739,1565.40332221291,0.00910922181881927,0.0174075818540517,0.163042860623433,0.00120619816037917,1.22170679328656e-05,1.8028554006459e-07,2.61353854269947e-13,5.95378291716349e-09,-5.73037499723595e-14,3
鸡蛋滚落3_3.mp4,3,3,3,41,0,1.33333333333333,1.33333333333333,1.0,754.925671681832,1802.25503933396,1047.32936765212,821.261907398304,28.6576675149654,0.395245160825706,3号鸡蛋轮廓.jpg,5864284,9984.043,3046.04467662069,2453.50539363359,2732.51501191809,0.592633073944211,80.5472556743826,0.805472556743826,0.803701418877237,0.00177113786658878,0.00220372619108106,0.739285133482515,0.995729133361984,0.773930776142126,1546.59348097739,1565.40332221291,0.00910922181881927,0.0174075818540517,0.163042860623433,0.00120619816037917,1.22170679328656e-05,1.8028554006459e-07,2.61353854269947e-13,5.95378291716349e-09,-5.73037499723595e-14,3
鸡蛋滚落4_1.mp4,4,1,3,49,0,1.6,1.6,1.0,708.451248319695,1718.15535475821,1009.70410643851,2321.00028049673,48.1767607929044,0.183104139212762,4号鸡蛋轮廓.jpg,5550417,9285.877,3038.12016607951,2327.26784445663,2658.38492588457,0.642813979407063,76.6022315522763,0.766022315522763,0.762777777777778,0.00324453774498534,0.00425358189437263,0.808890292021494,0.996758891364137,0.774668404026633,1542.95766822565,1553.91150754979,0.00434544083640593,0.00855976713252117,0.164923949595974,0.00184446258748763,4.70351443727063e-06,9.29232114794436e-08,4.83798912272995e-14,2.71858176394152e-09,-3.78593078553822e-14,2
