ModelName,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Macro_AUC
RF,0.722222222222222,0.805900621118012,0.804615384615385,0.80361956103196,0.835749021093849
GBDT,0.703703703703704,0.794148380355277,0.791794871794872,0.790123456790123,0.81785019578123
SVM,0.722222222222222,0.733766233766234,0.804615384615385,0.760819107517221,0.860976695718075
LR,0.592592592592593,0.569565217391304,0.712820512820513,0.612698412698413,0.80547628747933
